Zeitstempel; FlexPos_Total; FlexPos_MarginalCost; FlexNeg_Total; FlexNeg_MarginalCost
[dd.MM.yyyy hh:mm:ss];[mw.kw];[eur.cent];[mw.kw];[eur.cent]
30.09.2016 00:00;0.00;60.00;96.00;30.00
30.09.2016 00:15;0.00;60.00;95.00;30.00
30.09.2016 00:30;0.00;60.00;94.00;30.00
30.09.2016 00:45;0.00;60.00;93.00;30.00
30.09.2016 01:00;0.00;60.00;92.00;30.00
30.09.2016 01:15;0.00;60.00;91.00;30.00
30.09.2016 01:30;0.00;60.00;90.00;30.00
30.09.2016 01:45;0.00;60.00;89.00;30.00
30.09.2016 02:00;0.00;60.00;88.00;30.00
30.09.2016 02:15;0.00;60.00;87.00;30.00
30.09.2016 02:30;0.00;60.00;86.00;30.00
30.09.2016 02:45;0.00;60.00;85.00;30.00
30.09.2016 03:00;0.00;60.00;84.00;30.00
30.09.2016 03:15;0.00;60.00;83.00;30.00
30.09.2016 03:30;0.00;60.00;82.00;30.00
30.09.2016 03:45;0.00;60.00;81.00;30.00
30.09.2016 04:00;0.00;60.00;80.00;30.00
30.09.2016 04:15;0.00;60.00;79.00;30.00
30.09.2016 04:30;0.00;60.00;78.00;30.00
30.09.2016 04:45;0.00;60.00;77.00;30.00
30.09.2016 05:00;0.00;60.00;76.00;30.00
30.09.2016 05:15;0.00;60.00;75.00;30.00
30.09.2016 05:30;0.00;60.00;74.00;30.00
30.09.2016 05:45;0.00;60.00;73.00;30.00
30.09.2016 06:00;0.00;60.00;72.00;30.00
30.09.2016 06:15;0.00;60.00;71.00;30.00
30.09.2016 06:30;0.00;60.00;70.00;30.00
30.09.2016 06:45;0.00;60.00;69.00;30.00
30.09.2016 07:00;0.00;60.00;68.00;30.00
30.09.2016 07:15;0.00;60.00;67.00;30.00
30.09.2016 07:30;0.00;60.00;66.00;30.00
30.09.2016 07:45;0.00;60.00;65.00;30.00
30.09.2016 08:00;0.00;60.00;64.00;30.00
30.09.2016 08:15;0.00;60.00;63.00;30.00
30.09.2016 08:30;0.00;60.00;62.00;30.00
30.09.2016 08:45;0.00;60.00;61.00;30.00
30.09.2016 09:00;0.00;60.00;60.00;30.00
30.09.2016 09:15;0.00;60.00;59.00;30.00
30.09.2016 09:30;0.00;60.00;58.00;30.00
30.09.2016 09:45;0.00;60.00;57.00;30.00
30.09.2016 10:00;0.00;60.00;56.00;30.00
30.09.2016 10:15;0.00;60.00;55.00;30.00
30.09.2016 10:30;0.00;60.00;54.00;30.00
30.09.2016 10:45;0.00;60.00;53.00;30.00
30.09.2016 11:00;0.00;60.00;52.00;30.00
30.09.2016 11:15;0.00;60.00;51.00;30.00
30.09.2016 11:30;0.00;60.00;50.00;30.00
30.09.2016 11:45;0.00;60.00;49.00;30.00
30.09.2016 12:00;0.00;60.00;48.00;30.00
30.09.2016 12:15;0.00;60.00;47.00;30.00
30.09.2016 12:30;0.00;60.00;46.00;30.00
30.09.2016 12:45;0.00;60.00;45.00;30.00
30.09.2016 13:00;0.00;60.00;44.00;30.00
30.09.2016 13:15;0.00;60.00;43.00;30.00
30.09.2016 13:30;0.00;60.00;42.00;30.00
30.09.2016 13:45;0.00;60.00;41.00;30.00
30.09.2016 14:00;0.00;60.00;40.00;30.00
30.09.2016 14:15;0.00;60.00;39.00;30.00
30.09.2016 14:30;0.00;60.00;38.00;30.00
30.09.2016 14:45;0.00;60.00;37.00;30.00
30.09.2016 15:00;0.00;60.00;36.00;30.00
30.09.2016 15:15;0.00;60.00;35.00;30.00
30.09.2016 15:30;0.00;60.00;34.00;30.00
30.09.2016 15:45;0.00;60.00;33.00;30.00
30.09.2016 16:00;0.00;60.00;32.00;30.00
30.09.2016 16:15;0.00;60.00;31.00;30.00
30.09.2016 16:30;0.00;60.00;30.00;30.00
30.09.2016 16:45;0.00;60.00;29.00;30.00
30.09.2016 17:00;0.00;60.00;28.00;30.00
30.09.2016 17:15;0.00;60.00;27.00;30.00
30.09.2016 17:30;0.00;60.00;26.00;30.00
30.09.2016 17:45;0.00;60.00;25.00;30.00
30.09.2016 18:00;0.00;60.00;24.00;30.00
30.09.2016 18:15;0.00;60.00;23.00;30.00
30.09.2016 18:30;0.00;60.00;22.00;30.00
30.09.2016 18:45;0.00;60.00;21.00;30.00
30.09.2016 19:00;0.00;60.00;20.00;30.00
30.09.2016 19:15;0.00;60.00;19.00;30.00
30.09.2016 19:30;0.00;60.00;18.00;30.00
30.09.2016 19:45;0.00;60.00;17.00;30.00
30.09.2016 20:00;0.00;60.00;16.00;30.00
30.09.2016 20:15;0.00;60.00;15.00;30.00
30.09.2016 20:30;0.00;60.00;14.00;30.00
30.09.2016 20:45;0.00;60.00;13.00;30.00
30.09.2016 21:00;0.00;60.00;12.00;30.00
30.09.2016 21:15;0.00;60.00;11.00;30.00
30.09.2016 21:30;0.00;60.00;10.00;30.00
30.09.2016 21:45;0.00;60.00;9.00;30.00
30.09.2016 22:00;0.00;60.00;8.00;30.00
30.09.2016 22:15;0.00;60.00;7.00;30.00
30.09.2016 22:30;0.00;60.00;6.00;30.00
30.09.2016 22:45;0.00;60.00;5.00;30.00
30.09.2016 23:00;0.00;60.00;4.00;30.00
30.09.2016 23:15;0.00;60.00;3.00;30.00
30.09.2016 23:30;0.00;60.00;2.00;30.00
30.09.2016 23:45;0.00;60.00;1.00;30.00
